area,areaid,dailydose1,dailydose2,dailydose3,daydiff,daytotal,referencedate,totaldistinctpersons,totaldose1,totaldose2,totaldose3,totalvaccinations
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,1297,834,0,97,2036,2021-05-06 00:00:00,34083,34083,11278,0,45170
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,1215,1298,0,-22,2459,2021-05-06 00:00:00,63212,63212,24230,0,87338
ΑΝΔΡΟΥ,1201,118,77,0,-53,195,2021-05-06 00:00:00,2628,2628,1198,0,3826
ΑΡΓΟΛΙΔΑΣ,1001,532,652,0,-35,1089,2021-05-06 00:00:00,20864,20864,9034,0,29708
ΑΡΚΑΔΙΑΣ,1002,567,359,0,9,877,2021-05-06 00:00:00,17403,17403,6940,0,24244
ΑΡΤΑΣ,401,288,294,0,-23,532,2021-05-06 00:00:00,11940,11940,7183,0,19028
ΑΧΑΪΑΣ,702,2063,1297,0,369,3170,2021-05-06 00:00:00,57958,57958,25703,0,83286
ΒΟΙΩΤΙΑΣ,801,617,777,0,1,1299,2021-05-06 00:00:00,26960,26960,10319,0,37089
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,7766,2295,0,1143,9864,2021-05-06 00:00:00,237704,237705,131831,0,369149
ΓΡΕΒΕΝΩΝ,301,147,276,0,8,373,2021-05-06 00:00:00,7942,7942,4425,0,12267
ΔΡΑΜΑΣ,101,443,458,0,-72,856,2021-05-06 00:00:00,17287,17287,8902,0,26094
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,231,520,0,8,751,2021-05-06 00:00:00,19829,19830,8892,0,28722
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,5668,2451,0,1951,8021,2021-05-06 00:00:00,105970,105971,48480,0,154256
ΕΒΡΟΥ,102,658,778,0,4,1336,2021-05-06 00:00:00,29152,29152,14971,0,43923
ΕΥΒΟΙΑΣ,802,895,1116,0,92,1897,2021-05-06 00:00:00,39667,39668,19043,0,58473
ΕΥΡΥΤΑΝΙΑΣ,803,67,130,0,-22,162,2021-05-06 00:00:00,3459,3459,1940,0,5319
ΖΑΚΥΝΘΟΥ,601,330,209,0,20,489,2021-05-06 00:00:00,7779,7779,3637,0,11316
ΗΛΕΙΑΣ,703,1111,751,0,104,1757,2021-05-06 00:00:00,26937,26937,11773,0,38505
ΗΜΑΘΙΑΣ,201,726,756,0,36,1402,2021-05-06 00:00:00,25719,25719,12816,0,38375
ΗΡΑΚΛΕΙΟΥ,1301,1659,1212,0,-89,2777,2021-05-06 00:00:00,57337,57337,25570,0,82713
ΘΑΣΟΥ,103,65,179,0,-4,244,2021-05-06 00:00:00,3572,3572,2160,0,5732
ΘΕΣΠΡΩΤΙΑΣ,402,160,466,0,-1,576,2021-05-06 00:00:00,13862,13862,7411,0,21173
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,5747,7107,0,159,12504,2021-05-06 00:00:00,273732,273735,125770,0,398806
ΘΗΡΑΣ,1202,131,391,0,61,477,2021-05-06 00:00:00,4537,4537,2346,0,6788
ΙΘΑΚΗΣ,602,1,83,0,24,84,2021-05-06 00:00:00,1657,1657,1049,0,2706
ΙΚΑΡΙΑΣ,1101,84,79,0,-2,163,2021-05-06 00:00:00,3345,3345,1731,0,5076
ΙΩΑΝΝΙΝΩΝ,403,1055,776,0,33,1741,2021-05-06 00:00:00,36776,36777,18272,0,54860
ΚΑΒΑΛΑΣ,104,708,628,0,-2,1286,2021-05-06 00:00:00,24093,24093,11964,0,35957
ΚΑΛΥΜΝΟΥ,1203,269,295,0,66,479,2021-05-06 00:00:00,6373,6373,3617,0,9905
ΚΑΡΔΙΤΣΑΣ,501,653,536,0,99,1144,2021-05-06 00:00:00,24342,24342,9572,0,33819
ΚΑΡΠΑΘΟΥ,1204,43,125,0,1,168,2021-05-06 00:00:00,2644,2644,1634,0,4278
ΚΑΣΤΟΡΙΑΣ,302,225,438,0,-24,618,2021-05-06 00:00:00,13750,13750,7158,0,20818
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,28,164,0,29,192,2021-05-06 00:00:00,2312,2312,1088,0,3400
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,3986,7112,0,207,10539,2021-05-06 00:00:00,290680,290682,151352,0,440941
ΚΕΡΚΥΡΑΣ,603,742,620,0,69,1312,2021-05-06 00:00:00,22082,22082,10333,0,32320
ΚΕΦΑΛΛΗΝΙΑΣ,604,250,320,0,44,502,2021-05-06 00:00:00,9068,9068,4740,0,13684
ΚΙΛΚΙΣ,203,306,626,0,-59,871,2021-05-06 00:00:00,16692,16692,10287,0,26834
ΚΟΖΑΝΗΣ,303,730,950,0,-6,1580,2021-05-06 00:00:00,30394,30394,14530,0,44724
ΚΟΡΙΝΘΙΑΣ,1003,798,661,0,63,1414,2021-05-06 00:00:00,26374,26374,8630,0,34909
ΚΩ,1206,95,179,0,-3,274,2021-05-06 00:00:00,7325,7325,3591,0,10916
ΛΑΚΩΝΙΑΣ,1004,533,511,0,-19,944,2021-05-06 00:00:00,16495,16495,7934,0,24229
ΛΑΡΙΣΑΣ,502,1731,1303,0,253,2934,2021-05-06 00:00:00,49867,49867,19566,0,69238
ΛΑΣΙΘΙΟΥ,1302,381,789,0,-2,990,2021-05-06 00:00:00,20992,20992,11897,0,32529
ΛΕΣΒΟΥ,1102,338,464,0,-13,751,2021-05-06 00:00:00,15801,15801,7645,0,23346
ΛΕΥΚΑΔΑΣ,605,160,170,0,-3,285,2021-05-06 00:00:00,6353,6353,3196,0,9459
ΛΗΜΝΟΥ,1103,129,98,0,5,202,2021-05-06 00:00:00,3972,3972,2081,0,6013
ΜΑΓΝΗΣΙΑΣ,503,1069,918,0,-50,1937,2021-05-06 00:00:00,34446,34446,14790,0,49136
ΜΕΣΣΗΝΙΑΣ,1005,1007,849,0,2,1756,2021-05-06 00:00:00,29686,29686,13673,0,43164
ΜΗΛΟΥ,1207,53,200,0,60,253,2021-05-06 00:00:00,4457,4457,2802,0,7259
ΜΥΚΟΝΟΥ,1208,22,62,0,0,84,2021-05-06 00:00:00,1492,1492,930,0,2422
ΝΑΞΟΥ,1209,74,139,0,-16,213,2021-05-06 00:00:00,4337,4337,1937,0,6274
ΝΗΣΩΝ,906,378,741,0,225,1119,2021-05-06 00:00:00,18657,18658,9632,0,28290
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,907,4195,2316,0,672,6465,2021-05-06 00:00:00,92163,92163,26776,0,118844
ΞΑΝΘΗΣ,105,614,516,0,9,1077,2021-05-06 00:00:00,17037,17037,8113,0,25050
ΠΑΡΟΥ,1210,39,68,0,-51,107,2021-05-06 00:00:00,2526,2526,1428,0,3954
ΠΕΙΡΑΙΩΣ,908,773,1871,0,240,2545,2021-05-06 00:00:00,78878,78878,39424,0,118117
ΠΕΛΛΑΣ,204,385,1172,0,18,1473,2021-05-06 00:00:00,31570,31571,17024,0,48416
ΠΙΕΡΙΑΣ,205,387,792,0,-20,1129,2021-05-06 00:00:00,24452,24452,12791,0,37143
ΠΡΕΒΕΖΑΣ,404,357,406,0,51,713,2021-05-06 00:00:00,14510,14510,4134,0,18544
ΡΕΘΥΜΝΟΥ,1303,295,560,0,39,805,2021-05-06 00:00:00,17799,17799,8610,0,26309
ΡΟΔΟΠΗΣ,106,509,475,0,24,934,2021-05-06 00:00:00,17324,17324,7456,0,24685
ΡΟΔΟΥ,1211,506,386,0,215,846,2021-05-06 00:00:00,17538,17538,7851,0,25294
ΣΑΜΟΥ,1104,133,127,0,-13,260,2021-05-06 00:00:00,5578,5578,2488,0,8066
ΣΕΡΡΩΝ,206,759,826,0,-16,1535,2021-05-06 00:00:00,29205,29205,11376,0,40481
ΣΠΟΡΑΔΩΝ,504,201,104,0,82,305,2021-05-06 00:00:00,4080,4080,1644,0,5724
ΣΥΡΟΥ,1212,136,123,0,0,209,2021-05-06 00:00:00,4641,4641,2186,0,6737
ΤΗΝΟΥ,1213,8,70,0,6,78,2021-05-06 00:00:00,2035,2035,1198,0,3233
ΤΡΙΚΑΛΩΝ,505,665,624,0,42,1239,2021-05-06 00:00:00,25307,25307,11633,0,36845
ΦΘΙΩΤΙΔΑΣ,804,870,736,0,30,1556,2021-05-06 00:00:00,28490,28490,12261,0,40651
ΦΛΩΡΙΝΑΣ,304,166,496,0,28,632,2021-05-06 00:00:00,12393,12393,6623,0,18956
ΦΩΚΙΔΑΣ,805,240,217,0,-54,417,2021-05-06 00:00:00,6441,6441,3218,0,9569
ΧΑΛΚΙΔΙΚΗΣ,207,549,690,0,14,1189,2021-05-06 00:00:00,21920,21920,10043,0,31864
ΧΑΝΙΩΝ,1304,872,946,0,70,1768,2021-05-06 00:00:00,35926,35926,18140,0,53966
ΧΙΟΥ,1105,263,203,0,15,416,2021-05-06 00:00:00,10105,10106,4181,0,14187
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,1199,843,0,-82,1954,2021-05-07 00:00:00,35282,35282,12121,0,47124
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,1186,1302,0,-21,2438,2021-05-07 00:00:00,64398,64398,25532,0,89776
ΑΝΔΡΟΥ,1201,163,72,0,40,235,2021-05-07 00:00:00,2791,2791,1270,0,4061
ΑΡΓΟΛΙΔΑΣ,1001,550,653,0,14,1103,2021-05-07 00:00:00,21414,21414,9687,0,30811
ΑΡΚΑΔΙΑΣ,1002,504,388,0,-34,843,2021-05-07 00:00:00,17907,17907,7328,0,25087
ΑΡΤΑΣ,401,280,300,0,3,535,2021-05-07 00:00:00,12220,12220,7483,0,19563
ΑΧΑΪΑΣ,702,1969,1274,0,-117,3053,2021-05-07 00:00:00,59927,59927,26977,0,86339
ΒΟΙΩΤΙΑΣ,801,611,772,0,-11,1288,2021-05-07 00:00:00,27571,27571,11091,0,38377
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,6916,2489,0,-654,9210,2021-05-07 00:00:00,244620,244621,134320,0,378359
ΓΡΕΒΕΝΩΝ,301,123,281,0,-14,359,2021-05-07 00:00:00,8065,8065,4706,0,12626
ΔΡΑΜΑΣ,101,412,494,0,0,856,2021-05-07 00:00:00,17699,17699,9396,0,26950
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,244,468,0,-39,712,2021-05-07 00:00:00,20073,20074,9360,0,29434
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,5126,2391,0,-598,7423,2021-05-07 00:00:00,111096,111097,50871,0,161679
ΕΒΡΟΥ,102,704,791,0,59,1395,2021-05-07 00:00:00,29856,29856,15762,0,45318
ΕΥΒΟΙΑΣ,802,744,1122,0,-136,1761,2021-05-07 00:00:00,40411,40412,20165,0,60234
ΕΥΡΥΤΑΝΙΑΣ,803,86,145,0,19,181,2021-05-07 00:00:00,3545,3545,2085,0,5500
ΖΑΚΥΝΘΟΥ,601,289,209,0,-36,453,2021-05-07 00:00:00,8068,8068,3846,0,11769
ΗΛΕΙΑΣ,703,1038,736,0,-85,1672,2021-05-07 00:00:00,27975,27975,12509,0,40177
ΗΜΑΘΙΑΣ,201,682,750,0,-60,1342,2021-05-07 00:00:00,26401,26401,13566,0,39717
ΗΡΑΚΛΕΙΟΥ,1301,1623,1365,0,111,2888,2021-05-07 00:00:00,58960,58960,26935,0,85601
ΘΑΣΟΥ,103,120,118,0,-6,238,2021-05-07 00:00:00,3692,3692,2278,0,5970
ΘΕΣΠΡΩΤΙΑΣ,402,172,438,0,-16,560,2021-05-07 00:00:00,14034,14034,7849,0,21733
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,5311,7157,0,-378,12126,2021-05-07 00:00:00,279043,279046,132927,0,410932
ΘΗΡΑΣ,1202,148,203,0,-176,301,2021-05-07 00:00:00,4685,4685,2549,0,7089
ΙΘΑΚΗΣ,602,3,80,0,-1,83,2021-05-07 00:00:00,1660,1660,1129,0,2789
ΙΚΑΡΙΑΣ,1101,84,80,0,1,164,2021-05-07 00:00:00,3429,3429,1811,0,5240
ΙΩΑΝΝΙΝΩΝ,403,906,835,0,-100,1641,2021-05-07 00:00:00,37682,37683,19107,0,56501
ΚΑΒΑΛΑΣ,104,656,633,0,-47,1239,2021-05-07 00:00:00,24749,24749,12597,0,37196
ΚΑΛΥΜΝΟΥ,1203,212,275,0,-47,432,2021-05-07 00:00:00,6585,6585,3892,0,10337
ΚΑΡΔΙΤΣΑΣ,501,641,497,0,-56,1088,2021-05-07 00:00:00,24983,24983,10069,0,34907
ΚΑΡΠΑΘΟΥ,1204,52,89,0,-27,141,2021-05-07 00:00:00,2696,2696,1723,0,4419
ΚΑΣΤΟΡΙΑΣ,302,243,447,0,17,635,2021-05-07 00:00:00,13993,13993,7605,0,21453
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,36,151,0,-5,187,2021-05-07 00:00:00,2348,2348,1239,0,3587
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,3851,7020,0,-243,10296,2021-05-07 00:00:00,294531,294533,158372,0,451237
ΚΕΡΚΥΡΑΣ,603,674,579,0,-109,1203,2021-05-07 00:00:00,22756,22756,10912,0,33523
ΚΕΦΑΛΛΗΝΙΑΣ,604,226,319,0,-20,482,2021-05-07 00:00:00,9294,9294,5059,0,14166
ΚΙΛΚΙΣ,203,309,598,0,-39,832,2021-05-07 00:00:00,17001,17001,10885,0,27666
ΚΟΖΑΝΗΣ,303,683,957,0,-40,1540,2021-05-07 00:00:00,31077,31077,15487,0,46264
ΚΟΡΙΝΘΙΑΣ,1003,701,674,0,-89,1325,2021-05-07 00:00:00,27075,27075,9304,0,36234
ΚΩ,1206,84,195,0,5,279,2021-05-07 00:00:00,7409,7409,3786,0,11195
ΛΑΚΩΝΙΑΣ,1004,511,471,0,-62,882,2021-05-07 00:00:00,17006,17006,8405,0,25111
